crab.number,year,month,day,zone,location,vessel,missing.legs.left,missing.legs.right,shell.condition,maturity,carapace.width,abdomen.width,weight,egg.colour,egg.development,gonad.colour,eggs.remaining,egg.weight,sample.egg.count,sample.egg.weight,fecundity,comment
30,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,52.36,34.06,52.8,OF,8,O,50,3.2799,703,0.0350,65879,
31,2012,8,17,12,Bradelle Bank,Marco Michel,,"4R,5R",3,P,50.13,33.55,48.1,OF,8,O,75,,,,#DIV/0!,
32,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,59.56,41.99,69.3,OF,3,O,50,,,,#DIV/0!,
33,2012,8,17,12,Bradelle Bank,Marco Michel,,"2H,5",3,P,60.83,41.95,67.7,OF,7,O,50,,,,#DIV/0!,
34,2012,8,17,12,Bradelle Bank,Marco Michel,5,1,3,P,48.74,34.66,49.3,OF,3,O,75,,,,#DIV/0!,
35,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,53.75,38.71,56.4,OF,7,O,50,,,,#DIV/0!,
36,2012,8,17,12,Bradelle Bank,Marco Michel,2,,3,P,59.02,37.62,68.5,OF,7,O,50,1.5226,630,0.0312,30745,
37,2012,8,17,12,Bradelle Bank,Marco Michel,,,3M,M,54.01,37.18,59.3,OF,3,O,75,1.7956,559,0.0311,32275,"Dry eggs, black eggs"
38,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,52.80,35.60,53.2,OF,7,O,50,,,,#DIV/0!,
39,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,47.45,31.53,39.7,OF,8,O,50,,,,#DIV/0!,
40,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,43.22,28.76,31.9,OF,8,O,50,,,,#DIV/0!,
41,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,60.40,41.30,77.1,OF,7,O,75,,,,#DIV/0!,
42,2012,8,17,12,Bradelle Bank,Marco Michel,,5,3,P,57.96,38.68,63.4,OF,7,O,50,1.7949,574,0.0306,33669,
43,2012,8,17,12,Bradelle Bank,Marco Michel,2,4,4,M,57.47,39.18,64.3,OF,4,O,75,2.6169,454,0.0306,38826,Dry eggs - dropped eggs while cleaning. 
44,2012,8,17,12,Bradelle Bank,Marco Michel,"3R,4R",,4,M,54.75,37.45,58.7,OF,1-3,O,75,1.7338,437,0.0301,25172,
45,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,56.63,39.43,75.3,OF,8,O,75,,,,#DIV/0!,
46,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,56.61,37.76,58.6,OF,7,O,50,1.3369,592,0.0317,24967,
47,2012,8,17,12,Bradelle Bank,Marco Michel,5H,5,3,P,56.18,36.29,55.5,OF,7,O,50,1.2406,608,0.0301,25059,"No pleo in cup, sampler removed pleopods before drying eggs"
48,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,52.31,36.34,72.9,OF,8,O,100,1.8949,466,0.0303,29143,
49,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,60.04,40.31,70.6,OF,7,O,50,1.5259,657,0.0305,32869,
50,2012,8,17,12,Bradelle Bank,Marco Michel,,,3M,M,54.64,37.02,62.3,OF,9,O,75,1.3847,614,0.0302,28153,"No pleo in cup, sampler removed pleopods before drying eggs"
51,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,57.75,38.61,67.3,OF,7,O,50,1.3659,606,0.0308,26875,"No pleo in cup, sampler removed pleopods before drying eggs"
52,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,56.03,38.69,64.1,OF,7,O,75,1.4770,536,0.0313,25293,
53,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,53.23,36.59,59.4,OF,7,O,100,1.0099,596,0.0312,19292,
54,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,50.13,34.26,54.3,OF,7,O,100,0.8347,596,0.0309,16100,"No pleo in cup, sampler removed pleopods before drying eggs  and trace of parasites"
55,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,53.88,34.64,52.9,OF,7,O,50,0.9702,613,0.0305,19499,
56,2012,8,17,12,Bradelle Bank,Marco Michel,5,,3,P,53.35,38.56,51.3,OF,7,O,50,0.9726,581,0.0304,18588,
57,2012,8,17,12,Bradelle Bank,Marco Michel,2R,,3,P,50.74,35.37,43.8,OF,1-3,O,50,0.9567,571,0.0304,17970,"No pleo in cup, sampler removed pleopods before drying eggs"
58,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,51.47,34.19,47.9,OF,8,O,50,0.7021,647,0.0310,14654,"6 pleo in cup, sampler removed pleopods before drying eggs"
