Date Sampled,Start Time,End Time,Date Measured,Zone,Location,Vessel,Sampler,Latitude,Longitude,Depth,Trap #,Crab #,Sex,Shell Condition,Carapace Width,Claw Height,Abd Width,Egg Color,Hepato Color,Hepato Texture,% Eggs Remaining,Gonad Color,Egg details,Missing Legs,Maturity,Barnacles,Spiroidea,Cigarette Burn,Egg Col L,Egg Col a,Egg Col b,Gon Col L,Gon Col a,Gon Col b,Hep Col L,Hep Col a,Hep Col b,Commentaire,Crab Weight,Gonad Weight,Hepato Weight,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,11,F,4,76.48,*,50.52,N,*,*,60,O,,******1***,M,*,*,*,28.070,5.090,0.500,46.030,30.170,38.790,34.51,6.48,15.18,Patte Dalhousie,147.7,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,12,F,4,71.55,*,49.31,N,*,*,100,O,,**********,M,*,*,*,29.010,7.790,1.000,46.060,29.030,37.720,32.18,3.42,7.33,Patte Dalhousie,143.6,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,13,F,4,74.45,*,53.62,N,*,*,100,O,,***7******,M,*,*,*,28.690,9.070,2.940,48.640,33.730,42.230,35.39,3.31,9.58,Patte Dalhousie,152,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,14,M,4,77.6,16.92,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,201.6,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,15,M,4,70.54,15.19,*,*,*,*,*,*,,*********1,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,154.6,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,16,M,4,85.81,17.52,*,*,*,*,*,*,,*****1**1*,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,232.2,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,17,M,4,85.51,19.08,*,*,*,*,*,*,,1*********,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,255,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,18,M,4,73.65,14.76,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,156.4,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,19,M,4,68.79,12.93,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,54.1,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,20,M,4,75.14,15.29,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,185.5,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,21,M,4,66.06,13.38,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,127.2,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,22,M,4,78.83,16.87,*,*,*,*,*,*,,1*1*******,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,196,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,23,M,4,76.86,17.45,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,208.7,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,24,M,4,90.35,20.75,*,*,*,*,*,*,,***1******,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,324,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,25,M,4,78.21,15.91,*,*,*,*,*,*,,**1*******,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,171.3,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,26,M,4,73.1,14.75,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,171.4,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,27,M,4,79.03,18.14,*,*,*,*,*,*,,********7*,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,208.9,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,28,M,4,69.09,13.44,*,*,*,*,*,*,,*********2,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,130.8,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,29,M,4,73.92,17.69,*,*,*,*,*,*,,*111******,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,154.2,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,30,M,4,77.75,13.35,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,193,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,31,M,4,74.9,17.11,*,*,*,*,*,*,,1*1*******,M,*,*,*,*,*,*,*,*,*,*,*,*,Patte Dalhousie,166.1,*,*,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11062018,*,*,12062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU,4717.8314,6308.1296,37fthm,1,1,M,*,73.09,*,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,,
11062018,*,*,12062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU,4717.8314,6308.1296,37fthm,1,2,M,*,82.35,*,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,,
11062018,*,*,12062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU,4717.8314,6308.1296,37fthm,1,3,M,*,76.39,*,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,,
11062018,*,*,12062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU,4717.8314,6308.1296,37fthm,1,4,M,*,92.52,*,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,,
11062018,*,*,12062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU,4717.8314,6308.1296,37fthm,1,5,M,*,73,*,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,,
11062018,*,*,12062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU,4717.8314,6308.1296,37fthm,1,6,M,*,89.39,*,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,,
11062018,*,*,12062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU,4717.8314,6308.1296,37fthm,1,7,M,*,90.43,*,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,,
11062018,*,*,12062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU,4717.8314,6308.1296,37fthm,1,8,M,*,90.22,*,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,,
11062018,*,*,12062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU,4717.8314,6308.1296,37fthm,1,9,M,*,87.81,*,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,,
11062018,*,*,12062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU,4717.8314,6308.1296,37fthm,1,10,M,*,90.92,*,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,,
11062018,*,*,12062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU,4717.8314,6308.1296,37fthm,1,11,M,*,91.23,*,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,,
11062018,*,*,12062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU,4717.8314,6308.1296,37fthm,1,12,M,*,77.83,*,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,,
11062018,*,*,12062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU,4717.8314,6308.1296,37fthm,1,13,M,*,86.64,*,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,,
11062018,*,*,12062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU,4717.8314,6308.1296,37fthm,1,14,M,*,80.52,*,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,1,M,2.5,80.35,15.31,*,*,*,*,*,*,,**********,I,*,*,*,*,*,*,*,*,*,*,*,*,I Recent Moulted  NRC,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,2,M,2.5,73.31,15.38,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,M Recent Moulted,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,3,M,2.5,66.87,13.26,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,M Recent Moulted,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,4,M,3,72,15.58,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,Dal,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,5,M,2.5,70.08,15.63,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,M Recent Moulted,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,6,M,2.5,75.01,12.87,*,*,*,*,*,*,,**********,I,*,*,*,*,*,*,*,*,*,*,*,*,I Skip Moult,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,7,M,2.5,65.25,12.91,*,*,*,*,*,*,,**********,I,*,*,*,*,*,*,*,*,*,*,*,*,I Skip Moult ?,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,8,M,3,74.64,13.5,*,*,*,*,*,*,,**********,I,*,*,*,*,*,*,*,*,*,*,*,*,I Skip Moult,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,9,M,3,74.23,15.56,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,Dal,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,10,M,2.5,78.37,16.41,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,Dal,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,11,M,3,75.88,16.7,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,Dal,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,12,M,2.5,68.47,13.07,*,*,*,*,*,*,,**********,I,*,*,*,*,*,*,*,*,*,*,*,*,I Skip Moult,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,13,M,2.5,70.47,15.3,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,Dal,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,14,M,2.5,74.21,15.15,*,*,*,*,*,*,,**********,I,*,*,*,*,*,*,*,*,*,*,*,*,I Skip Moult,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,15,M,3,77.17,16.58,*,*,*,*,*,*,,**********,I,*,*,*,*,*,*,*,*,*,*,*,*,I Skip Moult ?,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,16,M,3,79.05,17.71,*,*,*,*,*,*,,**********,M,*,*,*,*,*,*,*,*,*,*,*,*,Dal,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,17,M,*,76.13,*,*,*,*,*,*,*,,**********,*,*,*,*,*,*,*,*,*,*,*,*,*,Dal,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,18,M,*,72.07,*,*,*,*,*,*,*,,**********,*,*,*,*,*,*,*,*,*,*,*,*,*,Dal,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,19,M,*,80.22,*,*,*,*,*,*,*,,**********,*,*,*,*,*,*,*,*,*,*,*,*,*,Dal,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,20,M,*,87.09,*,*,*,*,*,*,*,,**********,*,*,*,*,*,*,*,*,*,*,*,*,*,Dal,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,21,M,*,77.45,*,*,*,*,*,*,*,,**********,*,*,*,*,*,*,*,*,*,*,*,*,*,Dal,*,*,*,,
15062018,*,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,1,22,M,*,60.11,*,*,*,*,*,*,*,,**********,*,*,*,*,*,*,*,*,*,*,*,*,*,Dal,*,*,*,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,14,F,4,74.01,*,43.37,OC,*,*,90,Beige,Eggs Orange Spot,**********,M,*,*,*,50.390,30.320,42.020,64.100,4.260,16.010,39.620,6.120,18.770,Dal  Egg #40,91.3,1.6005,3.9962,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,15,F,4,63.93,*,44.7,OC,*,*,100,Beige,Eggs Orange Spot,**********,M,*,*,*,48.580,27.430,38.110,51.060,2.860,23.360,62.060,4.410,16.710,Dal  Egg #43,104.5,1.5978,4.5106,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,16,F,4,61.2,*,42.21,OC,*,*,100,Beige,Eggs Orange Spot,**********,M,*,*,*,50.540,27.430,40.730,61.110,5.410,16.980,65.000,4.710,19.290,Dal  Egg #46,79.2,1.2972,4.6982,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,17,F,4,69.94,*,48.22,OC,*,*,100,Beige,Eggs Orange Spot,**********,M,*,*,*,50.120,34.620,41.500,58.350,13.300,23.850,51.350,3.680,32.850,Dal  Egg #49,138.4,2.3089,5.0869,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,18,F,3,55.12,*,39.76,OC,*,*,100,Beige,Eggs Orange Spot,**********,M,*,*,*,51.810,29.180,44.220,60.600,11.890,22.810,56.440,3.750,28.980,Dal  Egg #52,62.3,0.6557,2.5098,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,19,F,4,68.75,*,48.33,OC,*,*,100,Beige,Eggs Orange Spot,**********,M,*,*,*,52.110,31.660,43.990,61.470,3.430,14.980,51.280,4.730,31.090,Dal  Egg #55,122.3,2.3206,4.3618,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,20,F,4,56.97,*,40.39,OC,*,*,100,Beige,Eggs Orange Spot,**********,M,*,*,*,49.210,28.600,39.670,63.410,5.000,20.540,44.260,4.100,18.130,Dal  Egg #58,70,1.1224,3.5232,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,21,F,4,64.12,*,43.93,OC,*,*,100,Beige,Eggs Orange Spot,**********,M,*,*,*,50.990,28.430,42.240,62.030,5.140,20.940,45.900,5.690,23.790,Dal  Egg #61,101,1.3313,3.7107,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,22,F,4,59.72,*,42.16,OC,*,*,50,Beige,Eggs Orange Spot,**********,M,*,*,*,45.780,25.140,35.320,56.280,9.500,27.200,33.850,5.290,8.960,Dal  Egg #64,72,0.7396,3.5842,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,23,F,4,68.63,*,45.22,OC,*,*,100,Beige,Eggs Orange Spot,**********,M,*,*,*,48.520,32.580,41.590,59.020,6.410,18.930,50.930,8.430,33.760,Dal  Egg #67,122.7,1.8481,6.0279,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,24,F,4,59.51,*,42.72,OC,*,*,100,Beige,Eggs Orange Spot,**********,M,*,*,*,50.770,29.550,42.300,68.900,4.670,19.660,44.940,3.690,22.840,Dal  Egg #70,93.8,1.3666,4.4542,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,25,F,4,61.95,*,43.93,OC,*,*,100,Beige,Eggs Orange Spot,**********,M,*,*,*,49.740,28.650,48.450,62.490,3.300,17.200,46.910,5.540,21.640,Dal  Egg #73,93,1.7308,3.7287,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,26,F,4,65.51,*,44.16,OC,*,*,90,Beige,Eggs Orange Spot,**********,M,*,*,*,50.020,26.310,39.650,58.320,5.900,19.400,40.370,3.900,17.160,Dal  Egg #76,95.7,1.6664,3.9568,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,27,F,4,67.61,*,47.92,OC,*,*,100,Beige,Eggs Orange Spot,**********,M,*,*,*,49.020,29.680,38.650,62.500,6.860,16.770,56.760,3.110,30.950,Dal  Egg #79,118.8,2.7468,6.0171,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,28,F,4,62.84,*,43.97,OC,*,*,75,Beige,Eggs Orange Spot,**********,M,*,*,*,45.910,27.140,37.070,60.590,8.670,22.880,41.970,5.900,19.440,Dal  Egg #82,76.6,1.2146,4.7705,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,29,F,4,60.54,*,42.29,OC,*,*,100,Beige,Eggs Orange Spot,**********,M,*,*,*,49.180,31.690,38.060,62.520,7.370,17.290,50.680,3.440,24.810,Dal  Egg #85,84.6,1.1987,3.5348,,
16062018,7:30,*,17062018,12,Banc Bradelle,CCGS Perley,R.ALLAIN/M.MORIYASU/K.LANDRY,4726.051,6307.9842,76m,2,30,F,4,63.85,*,48.09,OC,*,*,100,Beige,Eggs Orange Spot,**********,M,*,*,*,47.560,30.340,39.780,62.230,6.070,17.350,42.530,4.980,19.960,Dal  Egg #90,102.3,1.8708,4.5362,,
