Data ,Before,After,Moult,"Moult I: moulted to immature, M: Moulted to maturity"
,27.6,35.4,I,
,36.4,46.2,I,
page 7,59.3,66.9,M,
,46.9,52.2,M,
,57.1,64.4,M,
,58.3,66.6,M,
,62.6,70.7,M,
,49.7,56.4,M,
,47.6,53.7,M,
,31.1,41.8,I,
,57.2,63.4,M,
,39.5,51.6,I,
,59.2,66.8,M,
,55.8,63.8,M,
page 6,52.2,59.1,M,
,62.9,70.9,M,
,59.4,68.6,M,
,45,53.9,I,
,40.8,49.1,I,
,58.2,65.3,M,
,59,64.8,M,
,55,62.9,M,
,60.9,67.5,M,
,39.1,48.9,I,
,54.8,63,M,
,50.2,59,I,
,56.2,62,M,
,57.3,62.9,M,
,72.6,84.9,,
,47.2,58,I,
,44.9,49,M,mangee morte
,27.8,34.5,I,mangee
,58.9,62,M,mue et mangee
page 5,60.6,67.3,M,
,56.1,60,M,
,56.3,59.8,M,morte
,45.9,52.3,M,
,59.3,66.7,M,
,55.7,64.3,M,
,63.8,70.8,M,
,58,64.1,M,
,60.3,67.7,M,
,56.4,64.1,M,
,42.1,52.4,I,
,42.3,51.2,I,
,46.9,53.2,M,
,65.2,73.1,M,
,40.2,49,I,
,41.8,50,I,
,40.8,49.5,I,
,49.6,56.3,M,
,51.8,58.7,M,morte
,58.1,64,M,morte
page 4,69.1,76.7,M,
,59.4,64.4,M,
,42.5,50.3,I,
,44.7,55.6,I,
,59,65.8,M,
,62.3,70.6,M,
,61.8,71.4,M,
,62.2,71.2,M,
,58.6,66.7,M,
,56.8,65.3,M,
,56.3,62.9,M,
,53,60.9,M,
,54.6,62.8,M,eggs extruded
,59.8,68.8,M,
,55.6,62.1,M,
,53.4,59.9,M,
,59.2,68,M,
page 3,56.5,62.2,M,
,61.3,64.4,M,
,48.7,56.7,M,
,56.9,64.8,M,
,54.4,61,M,
,58.8,67,M,
,51.5,56.5,M,
,27.4,35.6,?,blank
,59.1,67.6,M,
,57.3,64,M,
,62.3,69.4,M,
,61.2,68.5,M,
,61.4,66.4,M,
,62,69.2,M,
,52.9,61,M,
,56.8,61.7,M,
,71.2,75,M,
,54.9,61.2,M,
,50.7,55.3,M,
,51.7,59.2,M,
,57.1,64,M,
page 2,55.3,61.6,M,
,58.9,66.4,M,
,61.6,68.7,M,
,59.9,67.2,M,
,71.9,83.6,M,
,66.3,76.3,M,
,54.7,58,?,
,58.8,61.4,?,
,70,73.8,M,
,67,73.4,M,
,57,66.5,M,
,45.5,52.6,M,
,64.5,70.6,M,
,53.7,60,M,mue et mangee
,49.3,51.3,?,morte mangee
page 1,56,59.6,?,morte
,53.8,57,?,morte mangee
,60.8,63.5,?,morte mangee
,59.9,68.6,M,
,57.4,64,M,
,58.8,65.3,M,
,62.7,69.9,M,
,58.7,66,M,
,55.4,60.8,M,morte mangee
,59.8,66.9,M,morte mangee
,59.6,67.4,M,
,60.8,68.8,M,
