Sampler ID,Process,Date Measured,Survey Tow ID,Crab #,Time (out of formalin),Abdomen Width,Abdomen Height,Combined Wet Weight,Wet Weight (egg and pleopods),Wet Weight Setaes Only,Wet Weight Abdomen (flap),Rinse Start Time,Rinse End Time,Total Weight (dry uncleaned eggs),Date of Egg Cleaning, Dry Weight (Egg Dust Only),Date Weighed (Egg Dust Only),Dry Weight (Pleopods Only),Date Weighed (Dry Pleopods Only),Dry Weight (Pleopods Plus Dust),Date Weighed (Pleopod plus Dust) ,Dry Weight 1 (clean dry eggs/Out of Oven),Number in Subsample 1,Weight of Subsample 1,Dry Weight 2 (clean dry eggs/Out of Oven),Number in Subsample 2,Weight of Subsample 2,Date Eggs Were Counted,Start Time (counting),End Time (Counting),Development Stage,WEIGHT TO ADD?,Comments 1 (rincage),Comments 2 (nettoyage), Comments 3 (development),LEGENDE
Emily,*,*,337f,45,*,*,*,*,*,*,*,*,*,1.2720,13/12/2019,*,*,*,*,0.0610,2/1/2020,1.1635,577,0.0337,*,*,*,3/1/2020,10h15,10h30,4,,,very dirty & broken eggs,,
Emily,*,*,322f,33,*,*,*,*,*,*,*,*,*,2.3277,2/1/2020,*,*,*,*,0.0854,3/1/2020,2.2297,654,0.0362,*,*,*,3/1/2020,10h35,10h49,8,,,,,
Emily,*,*,291f,30,*,*,*,*,*,*,*,*,*,1.0155,3/1/2020,*,*,*,*,0.0424,10/1/2020,0.9607,502,0.0265,*,*,*,*,11h17,11h30,9,,,,,
Murray,less clean &WBC,20/12/2019,190f,144,8h25,42.24,26.83,13.6334,10.4313,0.6905,2.1288,9h39,10h42,3.4151,20/1/2020,*,*,*,*,0.0939,24/1/2020,3.3056,630,0.0417,*,*,*,*,13h08,13h39,4,,,,,
Murray 1 ,less clean &WBC,20/12/2019,188f,83,8h25,43.18,24.92,7.2509,4.7240,0.4629,1.7698,9h54,10h52,1.6375,15/1/2020,*,*,*,*,0.0691,21/1/2020,1.5378,507,0.0298,*,*,*,*,11h41,12h08,4,,,,,
2,less clean &WBC,20/12/2019,188f,83,8h25,43.18,24.92,7.2509,4.7240,0.4629,1.7698,9h54,10h52,1.6375,15/1/2020,*,*,*,*,0.0012,23/1/2020,1.5318,581,0.0334,*,*,*,*,9h15,9h47,*,,,.0078g of setae removed,,
Emily & Murray,WBC,20/12/2019,140f,260,10h06,41.87,27.38,9.3890,6.2559,0.5077,2.1189,10h31,12h57,1.9611,17/1/2020,*,*,*,*,0.0618,24/1/2020,1.8804,525,0.0324,*,*,*,*,13h51,14h15,4,,,,,
Murray,WBC,20/12/2019,104f,199,10h06,48.24,32.78,18.6513,12.6029,0.7276,4.2234,11h18,13h02,3.3430,17/1/2020,*,*,*,*,0.1512,24/1/2020,3.1578,602,0.0350,*,*,*,*,11h33,12h01,NA,,,,Bouin's Dried,
Murray 1,less clean &WBC,20/12/2019,116f,210,10h06,39.01,25.45,9.4608,6.1690,0.4133,2.2815,11h44,13h07,2.3627,16/1/2020,*,*,*,*,0.0642,21/1/2020,2.2798,541,0.0378,*,*,*,*,9h33,10h03,NA,,,,Bouin's Dried,
2,less clean &WBC,20/12/2019,116f,210,10h06,39.01,25.45,9.4608,6.1690,0.4133,2.2815,11h44,13h07,2.3627,16/1/2020,*,*,*,*,0.0010,23/1/2020,2.2763,615,0.0423,*,*,*,*,11h16,11h45,*,,,,,
