"date","tow.id","tow.number","crab.number","sampler","process","carapace.width","abdomen.width","abdomen.height","shell.condition","egg.development","egg.weight","egg.colour","gonad.colour","egg.colour.L","egg.colour.a","egg.colour.b","egg.weight.sample","egg.count.sample","egg.weight.2","egg.weight.sample.2","egg.count.sample.2","date.measured","date.counting","start.time.counting","end.time.counting","rinse.start.time","rinse.end.time","comment.egg.development","comment.rinsing","comments.cleaning"
"2019-07-18","GP222F",1,144,"Emily & Murray","Min",49.92,36.9,23.21,2,"8",1.1471,1,"orange",38.71,24.72,41.26,0.0304,559,NA,NA,NA,"2020-03-06","2020-12-17","","","11:23:00","13:19:00","","",""
"2019-07-18","GP211F",2,83,"Emily & Murray","Min",44.65,31.57,19.18,3,"3",1.1732,1,"beige",42.99,30.32,47.66,0.0307,442,NA,NA,NA,"2020-02-28","2020-03-09","","","14:35:00","14:35:00","","","parasites"
"2019-07-18","GP211F",2,92,"Emily & Murray","Min",45.76,32.06,19.05,2,"4S",0.7959,1,"orange",42.04,28.4,47.11,0.031,555,NA,NA,NA,"2020-03-06","2020-12-16","","","15:23:00","15:57:00","Irregular spotting in eggs/Dev not clear","",""
"2019-07-18","GP186F",4,28,"Emily","Min",46.24,32.89,21.88,4,"3S",1.1868,1,"beige",43.37,27.04,47.36,0.0327,522,NA,NA,NA,"2020-03-02","2020-03-10","","","14:50:00","15:26:00","Irregular spotting in eggs/Dev not clear","","parasites"
"2019-07-18","GP182F",5,105,"Emily & Murray","Min",46.74,32.81,22.15,2,"7",0.868,1,"orange",43.96,30.24,53.38,0.0303,524,NA,NA,NA,"2020-02-28","2020-03-10","","","14:50:00","15:45:00","","",""
"2019-07-18","GP199F",6,90,"Emily & Murray","Min",67.62,48.17,33.11,4,"8",3.5018,2,"orange",38.46,21.68,36.32,0.031,468,NA,NA,NA,"2020-03-02","2020-03-10","","","13:31:00","14:56:00","","lots of loose eggs","parasites"
"2019-07-18","GP199F",6,139,"Emily & Murray","Min",58.51,42.11,25.57,2,"S",1.6969,1,"orange",44.13,28.72,51.19,0.0309,484,NA,NA,NA,"2020-03-02","2020-02-11","","","13:57:00","15:14:00","Irregular spotting in eggs/Dev not clear","",""
"2019-07-18","GP219F",7,51,"Emily","Min",58.43,40.3,25.51,2,"3S",1.815,1,"orange",44.63,31.09,53.87,0.0299,470,NA,NA,NA,"2020-03-02","2020-03-10","","","14:42:00","15:22:00","Irregular spotting in eggs/Dev not clear","","parasites"
"2019-07-18","GP219F",7,52,"Emily","Min",44.52,31.58,20.23,4,"3S",1.3479,2,"beige",43.27,26.66,47.23,0.029,431,NA,NA,NA,"2020-03-06","2020-03-11","","","10:33:00","13:12:00","Irregular spotting in eggs/Dev not clear","","parasites"
"2019-07-18","GP212F",8,78,"Emily & Murray","Min",64.18,43.02,29.11,2,"8",2.4029,1,"orange",37.61,28.05,37.2,0.0301,506,NA,NA,NA,"2020-03-12","2021-01-04","","","08:46:00","11:34:00","","",""
"2019-07-18","GP212F",8,106,"Emily","Min",54.62,39.31,24.64,3,"3",1.8992,1,"orange",45.46,32.09,53.88,0.0304,562,NA,NA,NA,"2020-03-13","2021-03-17","","","11:34:00","13:41:00","","",""
"2019-07-18","GP196F",9,35,"Emily & Murray","Min",75.49,51.97,32.89,4,"8",2.6243,2,"orange",36.47,19.72,35.48,0.03,443,NA,NA,NA,"2020-03-06","2020-12-16","","","09:24:00","13:06:00","","lots of loose eggs","parasites"
"2019-07-18","GP196F",9,123,"Emily & Murray","Min",57.85,39.91,26.46,2,"8",2.0126,1,"orange",39.23,26.58,39.9,0.0312,532,NA,NA,NA,"2020-03-06","2020-12-17","","","09:30:00","13:08:00","","",""
"2019-07-25","GP159F",1,368,"Murray","Min",53.73,36.92,25.06,2,"6",1.4436,1,"orange",45.51,32.62,52.39,0.0305,546,NA,NA,NA,"2021-03-08","2021-03-17","","","12:25:00","13:48:00","","",""
"2019-07-25","GP159F",1,369,"Murray","Min",57.69,41.47,26.88,3,"8",1.4099,2,"orange",38.52,27.31,39.31,0.0299,557,NA,NA,NA,"2021-03-08","2021-03-17","","","12:14:00","13:42:00","","missing 1 setae",""
"2019-07-25","GP184A3",5,327,"Emily & Murray","Min",59.14,41.47,26.76,2,"4",1.9343,1,"orange",48.38,30.34,53.7,0.0307,541,NA,NA,NA,"2020-03-12","2021-01-04","","","09:43:00","11:42:00","","missing 1 setae",""
"2019-07-25","GP184A3",5,328,"Emily & Murray","Min",61.06,42.35,26.44,3,"8",1.9408,2,"orange",39.06,26.67,37.82,0.0303,536,NA,NA,NA,"2020-03-02","2020-03-09","","","10:48:00","13:24:00","","",""
"2019-07-25","GP202A2",8,174,"Murray","Min",58.83,43.53,29.41,2,"4",1.8313,1,"orange",44.95,28.15,51.24,0.03,452,NA,NA,NA,"2021-03-09","2021-03-26","","","10:08:00","14:22:00","","",""
"2019-07-25","GP198A1",10,80,"Emily & Murray","Min",55.75,41.09,24.85,2,"4",1.6444,1,"orange",44.13,31.72,48.8,0.0308,477,NA,NA,NA,"2020-03-12","2021-01-04","","","09:15:00","11:40:00","","",""
"2019-07-25","GP198A1",10,81,"Murray","Min",59.33,43.48,27.77,4,"8B",2.5094,1,"orange",43.76,26.27,43.45,0.0307,486,NA,NA,NA,"2021-03-09","2021-03-17","","","09:30:00","14:05:00","Big patches of stain","",""
"2019-07-25","GP206F",11,340,"Emily & Murray","Min",63.74,47.46,29.73,2,"4",2.2598,2,"orange",43.71,32.58,46.17,0.0303,521,NA,NA,NA,"2020-03-06","2020-12-16","","","15:10:00","15:54:00","","",""
"2019-07-25","GP206F",11,383,"Emily & Murray","Min",52.88,36.79,22.75,3,"8",1.1951,2,"orange",36.12,25.7,31.87,0.0313,576,NA,NA,NA,"2020-03-12","2021-01-04","","","11:13:00","13:08:00","","missing 1/2 of a setae",""
"2019-07-25","GP233F",12,133,"Emily","Min",54.19,37.9,22.42,4,"8",2.3861,2,"orange",37.09,25.5,35.79,0.0309,461,NA,NA,NA,"2020-03-13","2021-03-15","","","11:38:00","13:37:00","","lots of loose eggs & piece of abdomen missing",""
"2019-07-25","GP233F",12,192,"Emily","Min",58.33,41.3,27.19,2,"6",1.8997,1,"orange",43.8,29.14,49.02,0.0303,517,NA,NA,NA,"2020-03-13","2021-03-12","","","09:46:00","13:15:00","","",""
"2019-07-26","GP220F",1,203,"Emily","Min",64.63,44.01,27.7,2,"7",2.2445,1,"orange",42.21,26.51,46.24,0.0305,512,NA,NA,NA,"2020-03-13","2021-03-15","","","11:26:00","13:35:00","","",""
"2019-07-26","GP220F",1,206,"Emily & Murray","Min",62.92,44.22,28.23,3,"8",2.2169,1,"orange",37.05,26.7,35.98,0.03,540,NA,NA,NA,"2020-03-12","2021-01-04","","","10:02:00","11:31:00","","","parasites"
"2019-07-26","GP226F",2,39,"Emily","Min",63.78,43.96,25.33,2,"4",1.8527,1,"beige",42.49,31.66,48.81,0.0304,534,NA,NA,NA,"2020-03-13","2021-03-12","","","09:41:00","13:10:00","","broken abdomen",""
"2019-07-26","GP240A2",5,96,"Emily & Murray","Min",59.03,41.14,26.28,2,"S",1.6838,1,"beige",46.29,31.44,51.79,0.0303,525,NA,NA,NA,"2020-03-13","2021-01-04","","","08:55:00","13:27:00","Irregular spotting in eggs/Dev not clear","",""
"2019-07-26","GP214F",7,95,"Murray","Min",55.67,39.46,27.55,2,"4",1.4979,1,"orange",44.04,30.69,51.77,0.0301,546,NA,NA,NA,"2021-03-19","2021-03-31","","","08:50:00","11:46:00","","missing setae",""
"2019-07-26","GP162F",12,57,"Murray & Katherine","Min",65.37,46.44,27.09,2,"6",2.2655,1,"orange",42.37,28.72,45.75,0.0279,494,NA,NA,NA,"2021-03-10","2021-03-26","","","10:14:00","13:03:00","","",""
"2019-07-26","GP174F",13,40,"Emily","Min",61.56,42.91,28.47,2,"7",2.1002,1,"orange",44.19,26.31,41.15,0.0298,550,NA,NA,NA,"2020-03-13","2021-03-15","","","09:36:00","13:24:00","","",""
"2019-07-27","GP170F",1,186,"Emily","Min",58.06,42.17,26.86,2,"4",1.7083,1,"beige",44.73,30.69,50.13,0.0299,550,NA,NA,NA,"2020-03-06","2020-03-12","","","11:29:00","13:21:00","","lots of loose eggs","oily"
"2019-07-27","GP154F",2,74,"Emily & Murray","Min",56.46,10.5,26.12,2,"NF",1.371,1,"orange",43.84,29.33,51.26,0.0302,503,NA,NA,NA,"2020-03-12","2021-01-04","","","11:18:00","13:10:00","Not fertilized","",""
"2019-07-27","GP133F",3,95,"Emily","Min",60.09,41.15,26.58,2,"6",1.8557,1,"orange",42.95,30.75,46.59,0.0299,569,NA,NA,NA,"2020-03-13","2021-03-12","","","09:50:00","13:06:00","","",""
