"date.sampled","start.time","date.measured","zone","location","vessel","sampler","latitude","longitude","depth","trap","crab.number","sex","shell.condition","carapace.width","chela.height","abdomen.width","egg.colour","eggs.remaining","gonad.colour","egg.details","missing.legs","maturity","barnacles","egg.colour.l","egg.colour.a","egg.colour.b","gonad.colour.l","gonad.colour.a","gonad.colour.b","hepato.colour.l","hepato.colour.a","hepato.colour.b","comment","crab.weight","gonad.weight","hepato.weight"
"2018-06-11","","2018-06-12",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU",4717.8314,6308.1296,"37fthm",1,7,"M",NA,90.43,NA,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA
"2018-06-11","","2018-06-12",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU",4717.8314,6308.1296,"37fthm",1,8,"M",NA,90.22,NA,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA
"2018-06-11","","2018-06-12",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU",4717.8314,6308.1296,"37fthm",1,9,"M",NA,87.81,NA,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA
"2018-06-11","","2018-06-12",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU",4717.8314,6308.1296,"37fthm",1,10,"M",NA,90.92,NA,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA
"2018-06-11","","2018-06-12",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU",4717.8314,6308.1296,"37fthm",1,11,"M",NA,91.23,NA,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA
"2018-06-11","","2018-06-12",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU",4717.8314,6308.1296,"37fthm",1,12,"M",NA,77.83,NA,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA
"2018-06-11","","2018-06-12",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU",4717.8314,6308.1296,"37fthm",1,13,"M",NA,86.64,NA,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA
"2018-06-11","","2018-06-12",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU",4717.8314,6308.1296,"37fthm",1,14,"M",NA,80.52,NA,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,1,"M",2.5,80.35,15.31,NA,NA,NA,NA,"","**********","immature","",NA,NA,NA,NA,NA,NA,NA,"",NA,"I Recent Moulted  NRC",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,2,"M",2.5,73.31,15.38,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"M Recent Moulted",NA,NA,NA
