sampler,project,vessel,location,year,month,day,sample.number,maturity.stage,carapace.width,sex,weight,eggs,chela.length,chela.height,shell.condition,missing.legs,abdomen.width,carapace.length,comment 1,comment2,egg.colour,egg.weight,egg.sample.count,egg.sample.weight,fecundity,percentage,comment
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,52,m,68,2,104,o,18,9,,xxxxxxxxx1,48,66,,Centre Marin Shippagan,o,3.8732,1000,678,57126,1.75,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,53,m,67,2,103,o,18,9,,xxxxxxxxxx,47,67,,Centre Marin Shippagan,o,3.9932,1000,707,56480,1.77,
,,,,,,,54,m,,,,,,,,,,,,,,4.1191,,662,62222,1.61,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,55,m,65,2,96,o,17,9,,xxxxxxxxxx,43,65,,Centre Marin Shippagan,o,2.5305,1000,625,40488,2.47,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,56,m,67,2,111,o,17,9,,xxxx1xxxxx,48,67,,Centre Marin Shippagan,o,4.6456,1000,745,62357,1.6,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,57,m,58,2,51,o,16,8,,xxxxxxxxxx,40,58,abdomen clair,Centre Marin Shippagan,o,,1000,,,,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,58,m,68,2,95,o,18,10,,xxxxxxxxxx,45,66,,Centre Marin Shippagan,o,4.1047,1000,682,60186,1.66,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,59,m,65,2,71,o,18,9,,xxxx111x11,47,65,,Centre Marin Shippagan,o,2.9447,1000,683,43114,2.32,
,,,,,,,60,m,,,,,,,,,,,,,,,,,,,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,61,p,66,2,94,o,16,9,,xxxxxxxxxx,45,64,carapace clair,Centre Marin Shippagan,o ,3.6264,1000,703,51588,1.94,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,62,m,67,2,106,o,17,9,,xxxxxxxxx1,46,65,,Centre Marin Shippagan,o ,3.9752,1000,668,59508,1.68,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,63,p,77,2,153,oj,20,11,,xxxxxxxxxx,53,75,carapace clair,Centre Marin Shippagan,o ,6.4212,1000,668,96125,1.04,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,64,m,75,2,160,o,20,11,,xxxxxxxxxx,49,75,,Centre Marin Shippagan,o ,4.8736,1000,698,69822,1.43,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,65,m,70,2,111,o,20,10,,x1xxxxxxxx,47,69,,Centre Marin Shippagan,o ,4.2825,1000,678,63163,1.58,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,66,m,70,2,125,o,19,10,,xxxxxxxxx1,49,69,,Centre Marin Shippagan,o ,5.2415,1000,715,73307,1.36,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,67,m,72,2,128,o,20,10,,xxxxxxxxxx,51,71,,Centre Marin Shippagan,o ,5.6107,1000,761,73727,1.36,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,68,m,65,2,99,o,16,10,,xxxxxxxxxx,47,64,,Centre Marin Shippagan,o ,3.6737,1000,701,52406,1.91,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,69,p,66,2,100,o,17,9,,xxxxxxxxxx,46,65,abdomen clair,Centre Marin Shippagan,o ,4.028,1000,656,61402,1.63,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,70,m,61,2,81,o,16,9,,xxxxxxxxxx,41,60,,Centre Marin Shippagan,o ,2.7925,1000,642,43496,2.29,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,71,m,65,2,92,o,16,9,,xxxxx1xx1x,46,65,,Centre Marin Shippagan,o ,2.8745,1000,603,47669,2.09,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,72,p,65,2,92,o,18,10,,xxxxxxxxxx,50,65,abdomen clair,Centre Marin Shippagan,o ,5.0386,1000,722,70409,1.42,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,73,m,66,2,99,o,18,9,,xxxx1xxxxx,44,64,,Centre Marin Shippagan,o ,3.6511,1000,630,57953,1.73,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,74,m,66,2,111,o,18,10,,xxxxxxxxxx,47,66,,Centre Marin Shippagan,o ,4.1397,1000,681,60788,1.65,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,75,p,69,2,116,o,18,10,,xxxxxxxxxx,48,67,abdomen clair,Centre Marin Shippagan,o ,5.0219,1000,677,74178,1.35,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,76,m,70,2,115,o,18,10,,xxxxxxxxxx,46,67,,Centre Marin Shippagan,o ,4.5445,1000,831,54687,1.83,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,77,m,65,2,96,o,17,9,,xxxxxxxxx1,46,63,,Centre Marin Shippagan,o ,4.0845,1000,717,56966,1.76,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,78,m,56,2,61,o,15,8,,xxxxxxxxxx,39,56,,Centre Marin Shippagan,o ,1.8854,1000,688,27404,3.65,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,79,m,65,2,104,o,17,9,,xxxxxxxxxx,46,65,,Centre Marin Shippagan,o ,3.4038,1000,640,53184,1.88,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,80,m,65,2,94,o,18,8,,xxx11xx1xx,47,65,,Centre Marin Shippagan,o ,3.9637,1000,674,58808,1.7,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,81,m,66,2,110,o,18,10,,xxxxxxxxxx,47,66,,Centre Marin Shippagan,o ,4.0664,2000,1325,61379,3.26,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,82,p,68,2,122,o,19,10,,xxxxxxxxxx,48,68,abdomen clair,Centre Marin Shippagan,o ,4.603,1000,634,72602,1.38,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,83,m,65,2,93,o,17,9,,xx1xxxxxxx,47,65,,Centre Marin Shippagan,o ,3.7995,1000,666,57049,1.75,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,84,m,64,2,104,o,17,9,,xx11xxxx1x,44,64,,Centre Marin Shippagan,o ,3.6366,1000,664,42783,2.34,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,85,m,68,2,105,o,18,9,,xxxxxxxxxx,47,69,,Centre Marin Shippagan,o ,4.8286,1000,684,70593,1.42,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,86,m,70,2,112,o,18,9,,xxxxxxxxxx,49,68,,Centre Marin Shippagan,o ,4.4324,1000,695,63775,1.57,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,87,m,64,2,100,o,18,9,,xxxxxxxxxx,43,65,,Centre Marin Shippagan,o ,3.4346,1000,657,52277,1.91,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,88,m,67,2,105,o,18,9,,xxxxxxxxxx,46,66,,Centre Marin Shippagan,o ,4.6678,1000,745,62655,1.59,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,89,m,73,2,127,o,19,10,,xxxxxxxxxx,50,71,,Centre Marin Shippagan,o ,5.4582,1000,669,81587,1.23,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,90,m,67,2,109,,18,9,,xxxxxxxxxx,44,67,,Centre Marin Shippagan,o ,2.5671,1000,741,34643,2.89,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,91,m,61,2,85,o,16,9,,xxxxxx1xxx,43,62,,Centre Marin Shippagan,o ,3.499,1000,685,51080,1.96,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,92,m,63,2,81,o,16,8,,xxxxx1xx11,44,62,,Centre Marin Shippagan,o ,3.6098,1000,650,55535,1.8,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,93,m,65,2,100,o,17,10,,xxxxxxxxxx,46,64,,Centre Marin Shippagan,o ,3.4138,1000,653,52278,1.9,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,94,m,66,2,103,o,17,9,,xxxxxxxxxx,44,66,,Centre Marin Shippagan,o ,3.3233,1000,651,51049,1.96,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,95,m,60,2,80,o,15,8,,xxxx1xxxxx,42,60,,Centre Marin Shippagan,o ,3.3988,1000,669,50804,1.97,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,96,m,63,2,85,ot,17,9,,xxxxxxxxxx,43,61,,Centre Marin Shippagan,of,3.4181,1000,622,54956,1.82,
